iter	RMSE
0	3.018064793
1	2.874716203
2	2.745580794
3	2.631234376
4	2.529280127
5	2.446103578
6	2.37447682
7	2.31061059
8	2.25542798
9	2.207915625
10	2.168350983
11	2.130792478
12	2.098675729
13	2.075215127
14	2.053891414
15	2.035722598
16	2.019105938
17	2.004216027
18	1.995380785
19	1.984196648
20	1.975665752
21	1.966115092
22	1.960042132
23	1.952190071
24	1.948385562
25	1.94458703
26	1.939955861
27	1.935137095
28	1.930713087
29	1.927110091
30	1.922166531
31	1.918603197
32	1.915531647
33	1.911504833
34	1.907975424
35	1.90488932
36	1.90226275
37	1.900549809
38	1.8981065
39	1.895937411
40	1.894503711
41	1.892530279
42	1.889802599
43	1.888290889
44	1.886759923
45	1.886128995
46	1.885342181
47	1.8842982
48	1.883509841
49	1.882186462
50	1.880724321
51	1.879883374
52	1.879496717
53	1.878720083
54	1.878392486
55	1.877290098
56	1.876852486
57	1.876392061
58	1.875399535
59	1.874148442
60	1.873737817
61	1.873184379
62	1.87288463
63	1.872133834
64	1.871718053
65	1.871116093
66	1.870093569
67	1.869765646
68	1.869430077
69	1.868964893
70	1.868286648
71	1.867356046
72	1.867017534
73	1.866629133
74	1.866566296
75	1.865756193
76	1.865156394
77	1.864509827
78	1.864115051
79	1.863793065
80	1.863407258
81	1.863142857
82	1.862980697
83	1.862446493
84	1.862272718
85	1.861775448
86	1.861344246
87	1.860938158
88	1.860808082
89	1.860592739
90	1.860033454
91	1.859672193
92	1.859306841
93	1.858835965
94	1.85831643
95	1.858154003
96	1.857646636
97	1.857361704
98	1.856901686
99	1.856458129
100	1.856228675
101	1.855911079
102	1.855521977
103	1.855398355
104	1.855132898
105	1.854841251
106	1.854438115
107	1.853694984
108	1.853382061
109	1.853013317
110	1.852888368
111	1.852365898
112	1.851918194
113	1.851311618
114	1.850464702
115	1.84960311
116	1.848948059
117	1.848266018
118	1.847553774
119	1.846693685
120	1.845919509
121	1.845348131
122	1.844433063
123	1.843633116
124	1.842900862
125	1.841969166
126	1.841257877
127	1.840455824
128	1.839467334
129	1.838433694
130	1.837616947
131	1.836892143
132	1.835591991
133	1.834583906
134	1.833403011
135	1.832569757
136	1.831710724
137	1.830942804
138	1.830011004
139	1.829120142
140	1.828296713
141	1.827585089
142	1.826762322
143	1.825902678
144	1.825042832
145	1.824233057
146	1.82351614
147	1.822728285
148	1.821559276
149	1.820597783
150	1.819710762
151	1.818772231
152	1.817860966
153	1.816999501
154	1.816337177
155	1.815826847
156	1.815066337
157	1.814203575
158	1.813398733
159	1.812743846
160	1.811967726
161	1.811282501
162	1.810554037
163	1.809770732
164	1.809153093
165	1.808659986
166	1.807837412
167	1.807254433
168	1.806692621
169	1.80622194
170	1.80570251
171	1.80501692
172	1.804415424
173	1.803671294
174	1.803000889
175	1.802583477
176	1.801920598
177	1.80124564
178	1.800622735
179	1.80025103
180	1.799232816
181	1.798493519
182	1.798083458
183	1.797496665
184	1.797077381
185	1.796635635
186	1.796259311
187	1.795847918
188	1.795287534
189	1.794765608
190	1.794118232
191	1.793593638
192	1.793027098
193	1.792472622
194	1.792036042
195	1.791560491
196	1.791013977
197	1.790568252
198	1.790089282
199	1.789669012
200	1.788977974
201	1.788282999
202	1.787791046
203	1.787378837
204	1.787079978
205	1.786644477
206	1.786250357
207	1.785603399
208	1.784963145
209	1.784548922
210	1.784058422
211	1.783484252
212	1.782796594
213	1.782015214
214	1.781604506
215	1.781211031
216	1.78088861
217	1.780495709
218	1.780127305
219	1.77970612
220	1.779268985
221	1.778586058
222	1.778031555
223	1.777747332
224	1.777429292
225	1.77705535
226	1.776526211
227	1.775810318
228	1.775555469
229	1.774939625
230	1.774568489
231	1.774002605
232	1.773584237
233	1.773125571
234	1.772787006
235	1.772300202
236	1.771984254
237	1.771432547
238	1.771134302
239	1.77076672
240	1.770241168
241	1.76992631
242	1.769563582
243	1.768965529
244	1.768566529
245	1.767911097
246	1.767592991
247	1.767197021
248	1.766797892
249	1.76643826
250	1.765953267
251	1.76541979
252	1.765088376
253	1.764730943
254	1.764384191
255	1.764022814
256	1.763609341
257	1.763094533
258	1.762556701
259	1.762311494
260	1.761906753
261	1.761517644
262	1.761173989
263	1.76092995
264	1.760528774
265	1.760052319
266	1.759811025
267	1.759387733
268	1.758994369
269	1.758573664
270	1.758139525
271	1.75793423
272	1.757565534
273	1.757186389
274	1.756549094
275	1.756065299
276	1.755362073
277	1.754991816
278	1.754512243
279	1.754229049
280	1.753884898
281	1.753531562
282	1.753288832
283	1.752893421
284	1.752445551
285	1.751866513
286	1.751527096
287	1.750953359
288	1.750688621
289	1.750211165
290	1.749913899
291	1.74954059
292	1.749249223
293	1.748923069
294	1.748528935
295	1.748098105
296	1.747823265
297	1.747514189
298	1.747156274
299	1.746819707
300	1.746468782
301	1.745976844
302	1.745382333
303	1.745019527
304	1.744686426
305	1.744282732
306	1.743961012
307	1.743678385
308	1.743387255
309	1.743015922
310	1.742782031
311	1.742421156
312	1.741963452
313	1.741687046
314	1.741393351
315	1.741122713
316	1.740901543
317	1.74058826
318	1.740178511
319	1.739678981
320	1.739359742
321	1.73895752
322	1.738706766
323	1.738396218
324	1.738079358
325	1.737880516
326	1.737542433
327	1.737325147
328	1.736960182
329	1.736535907
330	1.735980975
331	1.735674107
332	1.735413477
333	1.734942146
334	1.734675033
335	1.73435167
336	1.733862983
337	1.733671534
338	1.733273018
339	1.732911173
340	1.73260975
341	1.732254944
342	1.732005299
343	1.731366285
344	1.731125444
345	1.730942536
346	1.730337063
347	1.73006336
348	1.729713484
349	1.729512063
350	1.729313982
351	1.729058664
352	1.728641518
353	1.728439774
354	1.728122296
355	1.727934
356	1.72770394
357	1.727540046
358	1.727175502
359	1.726991593
360	1.726537942
361	1.726049574
362	1.725812509
363	1.725491157
364	1.725276763
365	1.724887409
366	1.724617422
367	1.724326276
368	1.724040481
369	1.723711477
370	1.723509268
371	1.723273266
372	1.722892966
373	1.722553878
374	1.722101813
375	1.721697375
376	1.721469842
377	1.721006187
378	1.720670195
379	1.720401185
380	1.720123275
381	1.719869341
382	1.71944665
383	1.719115319
384	1.718800918
