iter	Passed	Remaining
0	3	3060
1	6	3285
2	9	3071
3	11	2945
4	14	2855
5	16	2802
6	19	2763
7	22	2777
8	25	2759
9	27	2736
10	30	2711
11	32	2675
12	34	2641
13	37	2669
14	40	2663
15	43	2660
16	45	2659
17	48	2650
18	51	2644
19	54	2672
20	57	2697
21	60	2688
22	62	2670
23	65	2645
24	67	2634
25	69	2620
26	72	2620
27	75	2631
28	78	2618
29	80	2601
30	82	2589
31	85	2576
32	87	2571
33	90	2568
34	92	2560
35	95	2546
36	97	2533
37	99	2525
38	101	2511
39	105	2527
40	107	2518
41	110	2511
42	112	2501
43	115	2507
44	117	2499
45	120	2499
46	123	2512
47	126	2510
48	130	2525
49	133	2530
50	135	2521
51	137	2510
52	140	2503
53	142	2494
54	145	2498
55	147	2490
56	150	2483
57	152	2481
58	155	2475
59	157	2469
60	159	2462
61	162	2453
62	164	2445
63	166	2439
64	169	2438
65	172	2434
66	174	2430
67	176	2422
68	179	2424
69	182	2428
70	185	2428
71	188	2425
72	190	2420
73	193	2415
74	195	2408
75	197	2405
76	200	2400
77	203	2401
78	205	2398
79	208	2398
80	211	2394
81	213	2389
82	216	2389
83	218	2386
84	221	2383
85	223	2378
86	226	2372
87	228	2368
88	230	2362
89	233	2357
90	235	2355
91	238	2351
92	240	2346
93	242	2340
94	245	2336
95	247	2329
96	249	2323
97	252	2324
98	254	2320
99	257	2316
100	260	2314
101	262	2312
102	265	2311
103	268	2309
104	270	2307
105	272	2301
106	275	2297
107	277	2291
108	279	2287
109	282	2282
110	284	2279
111	287	2276
112	290	2283
113	293	2282
114	296	2281
115	299	2279
116	304	2295
117	306	2293
118	310	2295
119	313	2299
120	317	2305
121	320	2305
122	324	2314
123	328	2319
124	331	2318
125	334	2322
126	338	2327
127	342	2330
128	344	2327
129	347	2325
130	350	2324
131	353	2323
132	355	2319
133	358	2315
134	360	2311
135	363	2311
136	366	2311
137	369	2308
138	372	2304
139	374	2300
140	377	2297
141	380	2296
142	382	2293
143	388	2306
144	390	2305
145	393	2302
146	396	2299
147	399	2298
148	401	2294
149	405	2299
150	408	2299
151	411	2296
152	414	2293
153	417	2295
154	421	2296
155	423	2293
156	426	2291
157	429	2289
158	433	2290
159	435	2285
160	437	2282
161	440	2278
162	442	2274
163	445	2269
164	448	2270
165	451	2269
166	454	2267
167	456	2262
168	459	2259
169	462	2256
170	464	2253
171	467	2250
172	470	2248
173	473	2245
174	475	2243
175	478	2240
176	481	2238
177	484	2237
178	487	2234
179	489	2229
180	492	2227
181	494	2223
182	497	2223
183	500	2219
184	503	2216
185	505	2213
186	508	2210
187	511	2208
188	514	2207
189	517	2204
190	520	2202
191	522	2200
192	525	2198
193	528	2196
194	532	2199
195	535	2196
196	538	2193
197	541	2191
198	543	2187
199	547	2190
200	550	2189
201	552	2184
202	555	2180
203	557	2176
204	560	2173
205	564	2175
206	567	2172
207	569	2169
208	572	2165
209	574	2160
210	576	2157
211	579	2154
212	582	2150
213	584	2146
214	586	2142
215	589	2137
216	591	2133
217	593	2129
218	596	2126
219	599	2124
220	601	2120
221	603	2116
222	606	2112
223	608	2108
224	611	2105
225	614	2103
226	616	2099
227	618	2095
228	621	2091
229	623	2088
230	626	2084
231	628	2080
232	631	2077
233	633	2073
234	635	2069
235	638	2065
236	640	2061
237	642	2058
238	645	2054
239	648	2052
240	650	2049
241	653	2045
242	657	2047
243	659	2044
244	663	2043
245	665	2040
246	668	2036
247	670	2032
248	672	2028
249	674	2024
250	677	2021
251	680	2019
252	682	2015
253	685	2012
254	687	2009
255	690	2005
256	692	2002
257	694	1998
258	697	1995
259	699	1991
260	702	1988
261	705	1986
262	707	1983
263	709	1979
264	712	1976
265	715	1973
266	717	1969
267	719	1965
268	722	1962
269	724	1958
270	726	1954
271	729	1952
272	732	1949
273	734	1946
274	737	1943
275	739	1939
276	741	1935
277	744	1932
278	746	1929
279	749	1926
280	751	1923
281	753	1919
282	756	1916
283	758	1913
284	761	1910
285	763	1906
286	765	1902
287	768	1899
288	770	1896
289	773	1892
290	775	1889
291	778	1887
292	780	1883
293	783	1880
294	785	1877
295	787	1873
296	790	1870
297	792	1867
298	795	1864
299	797	1861
300	800	1858
301	802	1854
302	804	1851
303	807	1847
304	809	1845
305	812	1842
306	814	1839
307	817	1835
308	819	1832
309	821	1829
310	824	1826
311	826	1823
312	828	1819
313	831	1816
314	833	1812
315	835	1809
316	838	1806
317	840	1802
318	843	1800
319	845	1796
320	848	1793
321	850	1790
322	852	1787
323	855	1784
324	857	1781
325	860	1779
326	863	1776
327	865	1773
328	867	1770
329	870	1766
330	872	1763
331	875	1760
332	877	1757
333	879	1753
334	881	1750
335	884	1746
336	886	1744
337	889	1742
338	893	1742
339	896	1739
340	898	1737
341	901	1734
342	904	1732
343	906	1729
344	911	1730
345	917	1734
346	922	1736
347	927	1737
348	931	1737
349	934	1735
350	938	1734
351	943	1737
352	946	1735
353	949	1733
354	952	1731
355	955	1729
356	960	1729
357	980	1757
358	984	1758
359	989	1759
360	996	1763
361	1000	1763
362	1003	1761
363	1007	1759
364	1010	1758
365	1014	1756
366	1016	1753
367	1018	1749
368	1021	1746
369	1028	1750
370	1031	1748
371	1034	1746
372	1038	1745
373	1045	1749
374	1048	1747
375	1051	1745
376	1054	1743
